variable;unit;piam_variable;piam_unit;piam_factor;description;source;;;;;;;
Carbon Capture|Geological Storage|Direct Air Capture;Mt CO2/yr;Carbon Management|Storage|+|DAC;Mt CO2/yr;;Captured carbon dioxide (CO2) from direct air capture (DAC) that is injected into subsurface geological storage reservoirs (e.g.;;;;;;;;
Carbon Capture|Geological Storage|Direct Ocean Capture;Mt CO2/yr;;;;Captured carbon dioxide (CO2) from direct ocean capture that is injected into subsurface geological storage reservoirs (e.g.;;;;;;;;
Carbon Capture|Geological Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|+|Fossil|Pe2Se;Mt CO2/yr;;;;;;;;;;
Carbon Capture|Geological Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|Industry Energy|+|Fossil;Mt CO2/yr;;Captured carbon dioxide (CO2) from fossil fuels including coal;;;;;;;;
Carbon Capture|Geological Storage|Industrial Processes;Mt CO2/yr;Carbon Management|Storage|Industrial Processes|+|Industry;Mt CO2/yr;;Captured carbon dioxide (CO2) from industrial processes (e.g.;;;;;;;;
Carbon Capture|Geological Storage|Other Sources;Mt CO2/yr;Carbon Management|Storage|Industrial Processes|+|CDR Sector;Mt CO2/yr;;Captured carbon dioxide (CO2) from other sources that is injected into subsurface geological storage reservoirs (e.g.;;;;;;;;
Carbon Capture|Geological Storage|Synthetic Fuels;Mt CO2/yr;Carbon Management|Storage|Industry Energy|+|Synfuel;Mt CO2/yr;;Captured carbon dioxide (CO2) from synthetic fuels produced from carbon captured from fossil fuels and directly or indirectly from the atmosphere;;;;;;;;
Carbon Capture|Leakage;Mt CO2/yr;Carbon Management|Venting of Captured Carbon;Mt CO2/yr;;Captured carbon dioxide (CO2) that is vented;;;;;;;;
Carbon Capture|Other Storage;Mt CO2/yr;;;;Other types of storage for captured carbon dioxide (CO2);;;;;;;;
Carbon Capture|Utilization;Mt CO2/yr;Carbon Management|Usage;Mt CO2/yr;;Captured carbon dioxide (CO2) that is used in the manufacture of fuels or materials;;;;;;;;
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;R;;;;;;;
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|+|Land-Use Change;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;R;;;;;;;
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M;;;;;;;
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M;;;;;;;
Carbon Removal|Enhanced Weathering;Mt CO2/yr;Emi|CO2|CDR|+|EW;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) by terrestrial application of alkalinity to increase CO2 uptake on land;R;;;;;;;
Carbon Removal|Geological Storage|Biomass;Mt CO2/yr;Emi|CO2|CDR|+|BECCS;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through geological storage of CO2 from biogenic orgin;;;;;;;;
Carbon Removal|Geological Storage|Direct Air Capture;Mt CO2/yr;Emi|CO2|CDR|+|DACCS;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through direct air capture in combination with carbon-capture and sequestration (CCS);R;;;;;;;
Carbon Removal|Geological Storage|Other Sources;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through geological storage of CO2 from other sources;;;;;;;;
Carbon Removal|Geological Storage|Synthetic Fuels;Mt CO2/yr;Emi|CO2|CDR|+|Synthetic Fuels CCS;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through geological storage of CO2 captured from burning synthetic fuels produced from carbon-capture-and-utilization (CCU);;;;;;;;
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g.;;;;;;;;
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g.;;;;;;;;
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g.;;;;;;;;
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g.;;;;;;;;
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g.;;;;;;;;
Carbon Removal|Land Use|Agroforestry;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through intentionally integrating trees with crops or pasture on the same land;M;;;;;;;
Carbon Removal|Land Use|Biochar;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through conversion of biomass to recalcitrant carbon via pyrolysis and its subsequent application to croplands to increase soil carbon stocks;;;;;;;;
Carbon Removal|Land Use|Forest Management;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through improved forest management;;;;;;;;
Carbon Removal|Land Use|Other;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through other land-related CDR methods;M;;;;;;;
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);M;;;;;;;
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);M;;;;;;;
Carbon Removal|Land Use|Soil Carbon Management;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through enhancing the carbon content of soils;M;;;;;;;
Carbon Removal|Long-Lived Materials;Mt CO2/yr;Emi|CO2|CDR|+|Materials;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through long-lived materials;R;;;;;;;
Carbon Removal|Long-Lived Materials;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Timber|+|Storage in HWP;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through long-lived materials;M;;;;;;;
Consumption;billion USD_2010/yr;Consumption;billion US$2005/yr;1.10774;Total consumption of all goods;;;;;;;;
Consumption|D1 [Share];%;;;;Share of total consumption accruing to the first decile;;;;;;;;
Consumption|D10 [Share];%;;;;Share of total consumption accruing to the tenth decile;;;;;;;;
Consumption|D2 [Share];%;;;;Share of total consumption accruing to the second decile;;;;;;;;
Consumption|D3 [Share];%;;;;Share of total consumption accruing to the third decile;;;;;;;;
Consumption|D4 [Share];%;;;;Share of total consumption accruing to the fourth decile;;;;;;;;
Consumption|D5 [Share];%;;;;Share of total consumption accruing to the fifth decile;;;;;;;;
Consumption|D6 [Share];%;;;;Share of total consumption accruing to the sixth decile;;;;;;;;
Consumption|D7 [Share];%;;;;Share of total consumption accruing to the seventh decile;;;;;;;;
Consumption|D8 [Share];%;;;;Share of total consumption accruing to the eighth decile;;;;;;;;
Consumption|D9 [Share];%;;;;Share of total consumption accruing to the ninth decile;;;;;;;;
Consumption|Food|D1 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D10 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D2 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
