variable;unit;piam_variable;piam_unit;piam_factor;description;source;;;;;;;
Final Energy|Solids|Biomass;EJ/yr;FE|Solids|+|Biomass;EJ/yr;;Final energy fuel consumption of solid biomass (e.g.;;;;;;;;
Final Energy|Transportation;EJ/yr;FE|Transport|w/o Bunkers;EJ/yr;;Final energy consumption by the transportation sector excluding international aviation and shipping (see 'Bunkers');R;;;;;;;
Final Energy|Transportation|Bus;EJ/yr;FE|Transport|Pass|Road|Bus;EJ/yr;;Final energy consumption by the transportation sector by bus;T;;;;;;;
Final Energy|Transportation|Domestic Aviation;EJ/yr;FE|Transport|Pass|Domestic Aviation;EJ/yr;;Final energy consumption by the domestic aviation sector;T;;;;;;;
Final Energy|Transportation|Domestic Shipping;EJ/yr;FE|Transport|Freight|Domestic Shipping;EJ/yr;;Final energy consumption by the domestic shipping sector;T;;;;;;;
Final Energy|Transportation|Freight;EJ/yr;FE|Transport|Freight|w/o bunkers;EJ/yr;;Final energy consumption by the freight transportation sector excluding international aviation and shipping;R;;;;;;;
Final Energy|Transportation|Light-Duty Vehicle;EJ/yr;FE|Transport|Pass|Road|LDV;EJ/yr;;Final energy consumption by the transportation sector with light-duty vehicles;T;;;;;;;
Final Energy|Transportation|Passenger;EJ/yr;FE|Transport|Pass;EJ/yr;;Final energy consumption by the passenger transportation sector excluding international aviation and shipping;T;;;;;;;
Final Energy|Transportation|Passenger;EJ/yr;FE|Transport|Bunkers|Pass;EJ/yr;-1;Final energy consumption by the passenger transportation sector excluding international aviation and shipping;T;;;;;;;
Final Energy|Transportation|Rail;EJ/yr;FE|Transport|Rail;EJ/yr;;Final energy consumption by the rail transportation sector;T;;;;;;;
Final Energy|Transportation|Truck;EJ/yr;FE|Transport|Freight|Road;EJ/yr;;Final energy consumption by the trucking sector;T;;;;;;;
Food Availability [per capita];kcal/cap/day;Nutrition|Calorie Supply;kcal/capita/day;;Amount of food available from crops;;;;;;;;
Food Availability|Crops [per capita];kcal/cap/day;Nutrition|Calorie Supply|+|Crops;kcal/capita/day;;Amount of food available from crops and secondary products;M;;;;;;;
Food Availability|Livestock [per capita];kcal/cap/day;Nutrition|Calorie Supply|+|Livestock products;kcal/capita/day;;Amount of food available from livestock products;M;;;;;;;
Food Availability|Crops [per capita];kcal/cap/day;Nutrition|Calorie Supply|+|Secondary products;kcal/capita/day;;Amount of food available from crops and secondary products;M;;;;;;;
Food Waste [per capita];kcal/cap/day;SDG|SDG12|Food waste;kcal/cap/day;;Amount of food (crops and livestock) per capita that is disposed and not consumed (difference between food availability and food intake);;;;;;;;
Freshwater|Environmental Flow Violations;km3/yr;Water|Environmental flow violation volume;km3/yr;;Water withdrawals at the expense of environmental flow requirements;M;;;;;;;
GDP|PPP;billion USD_2010/yr;GDP|PPP;billion US$2005/yr;1.10774;GDP converted to USD using purchasing power parity (PPP);R;;;;;;;
GDP|PPP [Growth Rate per capita];%;GDP|PPP|Per capita growth rate;percent;;Annual growth rate of GDP-per-capita (PPP);S;;;;;;;
GDP|PPP [per capita relative to OECD];%;GDP|PPP|Per capita ratio to OECD;percent;;Ratio of GDP-per-capita (PPP) relative to OECD average;S;;;;;;;
Gender Inequality Index;unitless;;;;Geometric average of reproductive health;;;;;;;;
Health|Child Mortality;million;;;;Child mortality;;;;;;;;
Health|Child Mortality|Indoor Air Pollution;million;;;;Child mortality associated with indoor air pollution;;;;;;;;
Health|Disability-Adjusted Life Years|PM2.5;DALY/yr;Disability-Adjusted Life Year|PM2_5;DALY/yr;;Disability adjusted life years lost per year from health impacts due to air pollution of fine particles with a diameter of 2.5 μm or less (PM2.5);S;;;;;;;
Health|Premature Deaths|PM2.5;million;;;;Number of premature deaths associated with increased health risks from exposure to air pollution of fine particles with a diameter of 2.5 μm or less (PM2.5);;;;;;;;
Inequality|Average Income|Bottom 40% [Ratio];%;Inequality|Bottom 40% average income|Ratio;percent;;Average income of bottom 40% of population relative to national average;S;;;;;;;
Intensity|Final Energy;EJ/billion USD_2010;Intensity|GDP|Final Energy;MJ/US$2017;0.001099;Final Energy intensity;R;;;;;;;
Land Cover;million ha;Resources|Land Cover;million ha;;Total land cover;M;;;;;;;
Land Cover|Cropland;million ha;Resources|Land Cover|+|Cropland;million ha;;Arable land;;;;;;;;
Land Cover|Cropland|Energy Crops;million ha;Resources|Land Cover|Cropland|Croparea|+|Bioenergy crops;million ha;;Cropland for second-generation bioenergy crops (short rotation grasses;;;;;;;;
Land Cover|Forest;million ha;Resources|Land Cover|+|Forest;million ha;;Sum of primary;;;;;;;;
Land Cover|Forest|Planted;million ha;Resources|Land Cover|Forest|+|Planted Forest;million ha;;Forest predominantly composed of trees established through planting and/or deliberate seeding (FAO definition);M;;;;;;;
Land Cover|Forest|Planted|Natural;million ha;Resources|Land Cover|Forest|Planted Forest|+|Natural;million ha;;Planted forest which is not classified as plantation forest;;;;;;;;
Land Cover|Forest|Planted|Natural|Other;million ha;;;;Other planted forest which is not classified as plantation forest;;;;;;;;
Land Cover|Forest|Planted|Natural|Re/Afforestation;million ha;Resources|Land Cover|Forest|Planted Forest|Natural|+|CO2-price AR;million ha;;Reforestation and/or afforestation for carbon sequestration with native tree species resembling natural vegetation;M;;;;;;;
Land Cover|Forest|Planted|Natural|Re/Afforestation;million ha;Resources|Land Cover|Forest|Planted Forest|Natural|+|NPI_NDC AR;million ha;;Reforestation and/or afforestation for carbon sequestration with native tree species resembling natural vegetation;M;;;;;;;
Land Cover|Forest|Planted|Plantation;million ha;Resources|Land Cover|Forest|Planted Forest|+|Plantations;million ha;;Plantations are planted forests that are intensively managed and meet have one or two species;;;;;;;;
Land Cover|Forest|Planted|Plantation|Re/Afforestation;million ha;Resources|Land Cover|Forest|Planted Forest|Plantations|+|CO2-price AR;million ha;;Reforestation and/or afforestation for carbon sequestration with non-native species and/or as monoculture plantation;M;;;;;;;
Land Cover|Forest|Planted|Plantation|Timber;million ha;Resources|Land Cover|Forest|Planted Forest|Plantations|+|Timber;million ha;;Plantations for timber production;M;;;;;;;
Land Cover|Forest|Primary;million ha;Resources|Land Cover|Forest|Natural Forest|+|Primary Forest;million ha;;Naturally regenerated forest of native tree species;;;;;;;;
Land Cover|Forest|Secondary;million ha;Resources|Land Cover|Forest|Natural Forest|+|Secondary Forest;million ha;;Forest predominantly composed of trees established through natural regeneration excluding primary forest (based on FAO definition of Naturally Regenerating Forest);M;;;;;;;
Land Cover|Other Land;million ha;;;;Other land cover that does not fit into any other land cover category;;;;;;;;
Land Cover|Pasture;million ha;Resources|Land Cover|+|Pastures and Rangelands;million ha;;Pasture and range land based on FAO definition of 'permanent meadows and pastures';M;;;;;;;
Material Recycling|Aluminum;Mt/yr;;;;Production of recycled aluminum;;;;;;;;
Material Recycling|Aluminum [Share];%;;;;Share of recycled aluminum;;;;;;;;
Material Recycling|Chemicals;Mt/yr;;;;Production of recycled chemicals;;;;;;;;
Material Recycling|Chemicals [Share];%;;;;Share of recycled chemicals;;;;;;;;
Material Recycling|Plastics;Mt/yr;;;;Production of recycled plastics;;;;;;;;
Material Recycling|Plastics [Share];%;;;;Share of recycled plastics;;;;;;;;
Material Recycling|Steel;Mt/yr;;;;Production of recycled steel;;;;;;;;
Material Recycling|Steel [Share];%;;;;Share of recycled steel;;;;;;;;
Ocean|Acidification;pH;Ocean|pH value;pH;;Ocean acidification;S;;;;;;;
Ocean|Carbonate Saturation|Aragonite;unitless;Ocean|Carbonate Saturation|Aragonite;-;;Saturation state of aragonite (Omega A);S;;;;;;;
Ocean|Carbonate Saturation|Calcite;unitless;Ocean|Carbonate Saturation|Calcite;-;;Saturation state of calcite (Omega C);S;;;;;;;
Policy Cost|GDP Loss w/o Transfers;billion USD_2010/yr;Policy Cost|GDP Loss|w/o transfers;billion US$2017/yr;0.9096;GDP loss without international transfers in a policy scenario compared to the corresponding baseline (losses should be reported as positive numbers);Rx;;;;;;;
Policy Cost|Transfers;billion USD_2010/yr;Policy Cost|Transfers;billion US$2017/yr;0.9096;Net international climate finance transfers (positive for inflow;;;;;;;;
Political Institutions|Equality Before Law and Individual Liberty;unitless;Political institutions|Equality before law and individual liberty;-;;Aggregated 'Equality Before the Law and Individual Liberty' index as defined by 'Varieties of Democracy' (V-DEM;;;;;;;;
Pollution|Nitrogen|Surplus|Animal Waste Management;Tg N/yr;Resources|Nitrogen|Pollution|Surplus|+|Animal Waste Management;Mt Nr/yr;;Nitrogen surplus of animal waste management;Mx;;;;;;;
Pollution|Nitrogen|Surplus|Cropland;Tg N/yr;Resources|Nitrogen|Pollution|Surplus|+|Cropland;Mt Nr/yr;;Nitrogen surplus of soil inputs over soil withdrawals in cropland;M;;;;;;;
Pollution|Nitrogen|Surplus|Non-Agricultural Land;Tg N/yr;Resources|Nitrogen|Pollution|Surplus|+|Non-agricultural land;Mt Nr/yr;;Nitrogen surplus of non-agricultural land;M;;;;;;;
Pollution|Nitrogen|Surplus|Pasture;Tg N/yr;Resources|Nitrogen|Pollution|Surplus|+|Pasture;Mt Nr/yr;;Nitrogen surplus of soil inputs over soil withdrawals in pasture;Mx;;;;;;;
Population;million;Population;million;;Total population;R;;;;;;;
Population|Adults|Without Secondary Education [Share];%;;;;Share of adults aged 20+ without secondary education;;;;;;;;
Population|Appliance Access|Cleaning|Clothes dryer|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Cleaning|Dish washer|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Cleaning|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Cleaning|Washing machine|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Cooling|Air conditioner|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Cooling|Air cooler|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Cooling|Fan|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Cooling|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Entertainment|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Other|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Appliance Access|Refrigeration|Total;million;;;;Population with steady access to appliances per appliance category;;;;;;;;
Population|Clean Cooking Access;million;;;;Population with access to improved cooking facilities (electric or gas);;;;;;;;
Population|Drinking Water Access;million;;;;Population with access to improved drinking  water sources;;;;;;;;
Population|Electricity Access;million;;;;Population with access to electricity;;;;;;;;
Population|Female;million;;;;Total female population;;;;;;;;
Population|Gender Education Gap|Primary;percentage points;;;;Difference of percentage of males and females in school-leaving cohort aged 15-19 with at least primary education;;;;;;;;
Population|Gender Education Gap|Secondary;percentage points;;;;Difference of percentage of males and females in school-leaving cohort aged 20-24 with at least lower secondary education;;;;;;;;
Population|Informal Settlements;million;;;;Number of people living in informal settlements;;;;;;;;
Population|Male;million;;;;Total male population;;;;;;;;
Population|Poverty|Below 50% of National Median Income [Share];%;Population|Relative poverty|wrt median income|Share;percent;;Share of population below 50% of median national income;S;;;;;;;
Population|Poverty|Extreme Poverty;million;Population|Extreme Poverty|International poverty line;million;;Number of people living in extreme poverty with income below USD_2017 2.15 PPP per day (World Bank definition);S;;;;;;;
Population|Poverty|LMIC Poverty Line;million;Population|Poverty|LMIC poverty line;million;;Number of people living in poverty with income with income below USD_2017 3.65 PPP per day (World Bank LMIC definition);S;;;;;;;
Population|Poverty|National Poverty Line [Share];%;;;;Share of population living in relative poverty with income below their respective national poverty lines;;;;;;;;
Population|Poverty|UMIC Poverty Line;million;Population|Poverty|UMIC poverty line;million;;Number of people living in poverty with income below USD_2017 6.85 PPP per day (World Bank UMIC definition);S;;;;;;;
Population|Prevalence of Normal Weight;million;Population;million;;Number of adults with body mass index (BMI) BMI between 18.5 and 25 and children with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);M;;;;;;;
Population|Prevalence of Normal Weight;million;SDG|SDG03|Prevalence of overweight;million;-1;Number of adults with body mass index (BMI) BMI between 18.5 and 25 and children with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);M;;;;;;;
Population|Prevalence of Normal Weight;million;SDG|SDG03|Prevalence of obesity;million;-1;Number of adults with body mass index (BMI) BMI between 18.5 and 25 and children with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);M;;;;;;;
Population|Prevalence of Normal Weight;million;SDG|SDG02|Prevalence of underweight;million;-1;Number of adults with body mass index (BMI) BMI between 18.5 and 25 and children with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);M;;;;;;;
Population|Prevalence of Normal Weight|Children;million;;;;Number of children aged 0-14 with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);;;;;;;;
Population|Prevalence of Obesity;million;SDG|SDG03|Prevalence of obesity;million;;Number of adults with with body mass index (BMI) greater than 30 and children with BMI greater than two standard deviations from reference;M;;;;;;;
Population|Prevalence of Obesity|Children;million;SDG|SDG03|Prevalence of obesity|Children;million;;Number of children aged 0-14 with BMI greater than two standard deviations from reference;M;;;;;;;
Population|Prevalence of Overweight;million;SDG|SDG03|Prevalence of overweight;million;;Number of adults with body mass index (BMI) greater than 25 and children with BMI greater than one standard deviation from reference;M;;;;;;;
Population|Prevalence of Overweight|Children;million;SDG|SDG03|Prevalence of overweight|Children;million;;Number of children aged 0-14 years with BMI greater than one standard deviation from reference;M;;;;;;;
Population|Prevalence of Underweight;million;SDG|SDG02|Prevalence of underweight;million;;Number of adults with body mass index (BMI) lower than 18.5 and children with BMI lower than two standard deviations from reference;M;;;;;;;
Population|Prevalence of Underweight|Children;million;SDG|SDG02|Prevalence of underweight|Children;million;;Number of children aged 0-14 years with BMI lower than two standard deviations from reference;M;;;;;;;
Population|Primary Education|Leaving Cohort [Share];%;;;;Share of school-leaving cohort aged 15-19 completing primary education;;;;;;;;
Population|Relying on Solid Fuels;million;;;;Population without access to electricity and relying on solid fuels for heating-cooking;;;;;;;;
Population|Risk of Hunger;million;SDG|SDG02|Prevalence of underweight;million;;Population at risk of hunger;;;;;;;;
Population|Sanitation Access;million;;;;Population with access to improved sanitation;;;;;;;;
Population|Secondary Education|Leaving Cohort [Share];%;;;;Share of school-leaving cohort aged 20-24 completing secondary education (lower secondary or above);;;;;;;;
Population|Severe Water Stress;million;;;;Number of people living in areas with severe water stress;;;;;;;;
Population|Substandard Accommodation;million;;;;Number of people living in substandard accommodation;;;;;;;;
Population|Urban;million;Population|Urban;million;;Total population living in urban areas;S;;;;;;;
Population|Urban [Share];%;;;;Share of population living in urban areas;;;;;;;;
Population|Without Education [Share];%;;;;Share of people aged 15 or older without education;;;;;;;;
Price|Agriculture|Food Products [Index];Index (2020 = 1);Prices|Index2020|Agriculture|Food products;1;;Farm-gate price index of food crops and livestock products (weighted average);M;;;;;;;
Price|Agriculture|Food Products|Crops [Index];Index (2020 = 1);Prices|Index2020|Agriculture|Food products|Plant-based;1;;Farm-gate price index of food crops (weighted average);M;;;;;;;
Price|Agriculture|Food Products|Livestock [Index];Index (2020 = 1);Prices|Index2020|Agriculture|Food products|Livestock;1;;Farm-gate price index of livestock products (weighted average);M;;;;;;;
Price|Carbon;USD_2010/t CO2;Price|Carbon;US$2005/t CO2;1.10774;Price of carbon (as reported by the model);R;;;;;;;
Price|Carbon [relative to OECD];%;;;;Carbon price relative to OECD carbon price;;;;;;;;
Price|Final Energy|Electricity;USD_2010/GJ;;;;Electricity price including transmission and distribution costs;;;;;;;;
Primary Energy;EJ/yr;PE;EJ/yr;;Total primary energy consumption (direct equivalent);R;;;;;;;
Primary Energy|Biomass;EJ/yr;PE|+|Biomass;EJ/yr;;Primary energy consumption of 2nd generation bioenergy crops;;;;;;;;
Primary Energy|Biomass|Traditional;EJ/yr;PE|Biomass|Traditional;EJ/yr;;Primary energy consumption of traditional biomass including fuelwood;R;;;;;;;
Primary Energy|Coal;EJ/yr;PE|+|Coal;EJ/yr;;Primary energy consumption of coal including lignite;R;;;;;;;
Primary Energy|Fossil;EJ/yr;PE|Fossil;EJ/yr;;Primary energy consumption of fossil fuels including coal;;;;;;;;
Primary Energy|Gas;EJ/yr;PE|+|Gas;EJ/yr;;Primary energy consumption of natural gas (fossil methane);R;;;;;;;
Primary Energy|Gas|w/o CCS;EJ/yr;PE|Gas|w/o CC;EJ/yr;;Primary energy consumption of natural gas (fossil methane) without carbon capture and storage (CCS);R;;;;;;;
Primary Energy|Geothermal;EJ/yr;PE|+|Geothermal;EJ/yr;;Primary energy consumption of geothermal sources;R;;;;;;;
Primary Energy|Hydro;EJ/yr;PE|+|Hydro;EJ/yr;;Primary energy consumption of hydropower;R;;;;;;;
Primary Energy|Non-Biomass Renewables;EJ/yr;PE|Non-Biomass Renewables;EJ/yr;;Primary energy consumption of renewable energy exluding biomass;R;;;;;;;
Primary Energy|Nuclear;EJ/yr;PE|+|Nuclear;EJ/yr;;Primary energy consumption of nuclear power (direct equivalent);;;;;;;;
Primary Energy|Ocean;EJ/yr;;;;Primary energy consumption of oceans;;;;;;;;
Primary Energy|Oil;EJ/yr;PE|+|Oil;EJ/yr;;Primary energy consumption of conventional and unconventional crude oil;R;;;;;;;
Primary Energy|Other;EJ/yr;;;;Primary energy consumption from sources that do not fit any other category (direct equivalent);;;;;;;;
Primary Energy|Solar;EJ/yr;PE|+|Solar;EJ/yr;;Primary energy consumption of solar energy;R;;;;;;;
Primary Energy|Wind;EJ/yr;PE|+|Wind;EJ/yr;;Primary energy consumption of wind power;R;;;;;;;
Production|Iron and Steel|Steel;Mt/yr;Production|Industry|Steel;Mt/yr;;Production of raw steel;;;;;;;;
Production|Iron and Steel|Steel|Primary;Mt/yr;Production|Industry|Steel|Primary;Mt/yr;;Production of raw steel;;;;;;;;
Production|Iron and Steel|Steel|Secondary;Mt/yr;Production|Industry|Steel|Secondary;Mt/yr;;Production of raw steel;;;;;;;;
Production|Non-Ferrous Metals|Aluminum;Mt/yr;;;;Production of aluminum;;;;;;;;
Production|Non-Ferrous Metals|Aluminum Oxide;Mt/yr;;;;Production of aluminum oxide (alumina);;;;;;;;
Production|Non-Ferrous Metals|Aluminum|Primary;Mt/yr;;;;Production of aluminum produced by electrolysis of alumina;;;;;;;;
Production|Non-Ferrous Metals|Aluminum|Secondary;Mt/yr;;;;Production of aluminum produced by re-melting of scrap or that originates from a recycling process;;;;;;;;
Production|Non-Ferrous Metals|Bauxite;Mt/yr;;;;Production of sedimentary rock with a relatively high aluminium content;;;;;;;;
Production|Non-Ferrous Metals|Copper;Mt/yr;;;;Production of copper;;;;;;;;
Production|Non-Ferrous Metals|Copper|Primary;Mt/yr;;;;Production of copper extracted from minerals and free of reclaimed metal scrap;;;;;;;;
Production|Non-Ferrous Metals|Copper|Secondary;Mt/yr;;;;Production of copper that does not directly originate from a primary mineral but from a recycling process or from the processing of waste streams from primary production;;;;;;;;
Production|Non-Ferrous Metals|Graphite;Mt/yr;;;;Production of graphite;;;;;;;;
Production|Non-Ferrous Metals|Lithium;Mt/yr;;;;Production of lithium;;;;;;;;
Production|Non-Ferrous Metals|Lithium|Primary;Mt/yr;;;;Production of lithium extracted from minerals and free of reclaimed metal scrap;;;;;;;;
Production|Non-Ferrous Metals|Lithium|Secondary;Mt/yr;;;;Production of lithium that does not directly originate from a primary mineral but from a recycling process or from the processing of waste streams from primary production;;;;;;;;
Production|Non-Ferrous Metals|Manganese;Mt/yr;;;;Production of manganese;;;;;;;;
Production|Non-Ferrous Metals|Nickel;Mt/yr;;;;Production of nickel;;;;;;;;
Production|Non-Metallic Minerals;Mt/yr;;;;Production of Non-Metallic Minerals;;;;;;;;
Production|Non-Metallic Minerals|Bricks;Mt/yr;;;;Production of bricks;;;;;;;;
Production|Non-Metallic Minerals|Cement;Mt/yr;Production|Industry|Cement;Mt/yr;1;Production of cement;;;;;;;;
Production|Non-Metallic Minerals|Cement Clinker;Mt/yr;;;;Production of cement clinker;;;;;;;;
Production|Non-Metallic Minerals|Glass;Mt/yr;;;;Production of glass;;;;;;;;
Production|Non-Metallic Minerals|Limestone;Mt/yr;;;;Production of limestone;;;;;;;;
Production|Pulp and Paper|Paper;Mt/yr;;;;Production of paper;;;;;;;;
Production|Pulp and Paper|Pulp;Mt/yr;;;;Production of pulp;;;;;;;;
Terrestrial Biodiversity|Biodiversity Intactness Index;%;Biodiversity|BII;unitless;100;Terrestrial biodiversity measured with Biodiversity Intactness Index (BII);Mx;;;;;;;
Terrestrial Biodiversity|Biodiversity Intactness Index|Areas Outside Key Conservation and Cropland Landscapes;%;Biodiversity|BII in areas outside Biodiversity Hotspots;;;;;;;;;;;
Terrestrial Biodiversity|Biodiversity Intactness Index|Biodiversity Hotspots;%;Biodiversity|Biodiversity Hotspot BII;unitless;100;Terrestrial biodiversity in biodiversity hotspot landscapes measured with Biodiversity Intactness Index (BII);M;;;;;;;
Terrestrial Biodiversity|Biodiversity Intactness Index|Cropland Landscapes;%;Biodiversity|Cropland Landscapes BII;unitless;100;Terrestrial biodiversity in landscapes containing cropland measured with Biodiversity Intactness Index (BII);M;;;;;;;
Terrestrial Biodiversity|Biodiversity Intactness Index|Key Conservation Landscapes;%;Biodiversity|Key Biodiversity Area BII;unitless;100;Terrestrial biodiversity in biodiversity hotspot and intact forest landscapes measured with Biodiversity Intactness Index (BII);M;;;;;;;
Terrestrial Biodiversity|Mean Species Abundance;%;;;;Terrestrial biodiversity measured in Mean Species Abundance (MSA);;;;;;;;
Terrestrial Biodiversity|Mean Species Abundance|Plants;%;;;;Terrestrial biodiversity of plant species measured in Mean Species Abundance (MSA);;;;;;;;
Terrestrial Biodiversity|Mean Species Abundance|Vertebrates;%;;;;Terrestrial biodiversity of vertebrate species measured in Mean Species Abundance (MSA);;;;;;;;
Terrestrial Biodiversity|Shannon Crop Diversity Index;unitless;Biodiversity|Shannon crop area diversity index;unitless;;Crop diversity measured by the Shannon index accounting for crop richness and abundance;M;;;;;;;
Useful Energy|Commercial;EJ/yr;;;;Useful energy consumption by the commercial sector;;;;;;;;
Useful Energy|Industry;EJ/yr;;;;Useful energy consumption by the industrial sector excluding non-energy use (e.g.feedstocks);;;;;;;;
Useful Energy|Residential;EJ/yr;;;;Useful energy consumption by the residential sector;;;;;;;;
Useful Energy|Residential and Commercial;EJ/yr;;;;Useful energy consumption by the residential and commercial sector;;;;;;;;
Useful Energy|Transportation|Passenger;EJ/yr;;;;Useful energy for passenger transport;;;;;;;;
Value Added|Agriculture;billion USD_2010/yr;;;;Value added by the the aggregated agricultural sectors (ISIC Rev.4 - Section A);;;;;;;;
Value Added|Industry;billion USD_2010/yr;;;;Value added by the the aggregated industrial sector (ISIC Rev.4 - Section B-F);;;;;;;;
Value Added|Services;billion USD_2010/yr;;;;Value added by the the aggregated services sector (ISIC Rev.4 - Section G-X);;;;;;;;
Water Consumption;km3/yr;;km3/yr;;Total water consumption;Rx;;;;;;;
Water Consumption|Electricity;km3/yr;Water Consumption|Electricity;km3/yr;;Total water withdrawals for total electricity generation;Rx;;;;;;;
Water Consumption|Industrial Water;km3/yr;Resources|Water|Consumption|Non-agriculture|+|manufacturing;km3/yr;;Water consumption for the industrial and manufacturing sector;M;;;;;;;
Water Consumption|Irrigation;km3/yr;Resources|Water|Consumption|Agriculture|Crops|+|Crops;km3/yr;;Water consumption for irrigation;M;;;;;;;
Water Consumption|Irrigation;km3/yr;Resources|Water|Consumption|Agriculture|Crops|+|Forage;km3/yr;;Water consumption for irrigation;M;;;;;;;
Water Consumption|Irrigation;km3/yr;Resources|Water|Consumption|Agriculture|Crops|+|Bioenergy crops;km3/yr;;Water consumption for irrigation;M;;;;;;;
Water Consumption|Livestock;km3/yr;Resources|Water|Consumption|Agriculture|Livestock|+|Livestock products;km3/yr;;Water consumption for livestock;M;;;;;;;
Water Consumption|Municipal Water;km3/yr;Resources|Water|Consumption|Non-agriculture|+|domestic;km3/yr;;Water consumption for the municipal sector including for residential and commercial buildings and municipal irrigation;M;;;;;;;
Water Quality|Nitrogen Concentration;mg N/l;;;;Concentration of nitrogen in water at river mouths;;;;;;;;
Water Quality|Phosphorus Concentration;mg P/l;;;;Concentration of phosphorus in water at river mouths;;;;;;;;
Water Withdrawal;km3/yr;Water Withdrawal|Electricity;km3/yr;;Total water withdrawals;Rx;;;;;;;
Water Withdrawal;km3/yr;Resources|Water|Withdrawal|Agriculture;km3/yr;;Total water withdrawals;M;;;;;;;
Water Withdrawal;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|manufacturing;km3/yr;;Total water withdrawals;M;;;;;;;
Water Withdrawal;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|domestic;km3/yr;;Total water withdrawals;M;;;;;;;
Water Withdrawal|Electricity;km3/yr;Water Withdrawal|Electricity;km3/yr;;Total water withdrawals for total electricity generation;Rx;;;;;;;
Water Withdrawal|Industrial Water;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|manufacturing;km3/yr;;Water withdrawals for the industrial and manufacturing sector;M;;;;;;;
Water Withdrawal|Irrigation;km3/yr;Resources|Water|Withdrawal|Agriculture|Crops|+|Crops;km3/yr;;Water withdrawal for irrigation;M;;;;;;;
Water Withdrawal|Irrigation;km3/yr;Resources|Water|Withdrawal|Agriculture|Crops|+|Forage;km3/yr;;Water withdrawal for irrigation;M;;;;;;;
Water Withdrawal|Irrigation;km3/yr;Resources|Water|Withdrawal|Agriculture|Crops|+|Bioenergy crops;km3/yr;;Water withdrawal for irrigation;M;;;;;;;
Water Withdrawal|Livestock;km3/yr;Resources|Water|Withdrawal|Agriculture|Livestock|+|Livestock products;km3/yr;;Water withdrawals for livestock;M;;;;;;;
Water Withdrawal|Municipal Water;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|domestic;km3/yr;;Water withdrawals for the municipal sector including for residential and commercial buildings and municipal irrigation;M;;;;;;;
Inequality Index|Gini;unitless;;;;;;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Atmospheric Deposition;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Atmospheric Deposition;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Fertilizer;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Manure;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Manure;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Ash from Burned Crop Residues;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Belowground Crop Residues;Mt Nr/yr;;;M;;;;;;;
